MapName,RosTime,WallTime,NPointclouds,MeanError,StdDevError,RMSE,UnknownVoxels,OutsideTruncation,Volume
Unit,seconds,seconds,-,meters,meters,meters,percent,percent,m3
00000,1.0279999999999987,2.3303871154785156,1,0,0,0,1,0,0
00001,31.932000000000002,90.69293403625488,121,0.271775,0.182929,0.327464,0.996325,0,0
00002,61.94,168.75141024589539,123,0.262114,0.163393,0.308836,0.987351,0,0
00003,91.932,252.05832481384277,116,0.257599,0.142536,0.29439,0.976751,0,0
00004,121.932,329.7918620109558,122,0.253304,0.146673,0.292691,0.971896,0,0
00005,151.93200000000002,391.99869894981384,103,0.394932,0.20508,0.444996,0.948415,0,0
00006,181.94,459.23836493492126,127,0.471062,0.190379,0.508073,0.918049,0,0
00007,211.93200000000002,529.5819792747498,163,0.479004,0.187278,0.51431,0.910013,0,0
00008,241.93199999999996,606.0371904373169,132,0.496032,0.177101,0.526697,0.894114,0,0
00009,271.94,671.6279451847076,108,0.508796,0.167322,0.5356,0.84906,0,0
00010,301.93199999999996,733.9295032024384,119,0.512174,0.163683,0.537692,0.832009,0,0
00011,331.93199999999996,794.2007060050964,132,0.519304,0.159522,0.543252,0.811123,0,0
00012,361.93199999999996,869.1265199184418,144,0.524808,0.155372,0.547323,0.775225,0,0
00013,391.93199999999996,944.6158471107483,120,0.523707,0.155759,0.546378,0.767795,0,0
00014,421.952,1022.1878452301025,116,0.524434,0.154232,0.546642,0.756287,0,0
00015,451.94399999999996,1095.260849237442,115,0.525502,0.152699,0.547237,0.743678,0,0
00016,481.94399999999996,1170.9306638240814,110,0.524681,0.153465,0.546663,0.730423,0,0
00017,511.932,1243.000610589981,112,0.519068,0.158713,0.54279,0.724265,0,0
00018,541.932,1303.9476239681244,105,0.515453,0.161782,0.540245,0.718491,0,0
00019,571.932,1366.1919782161713,124,0.508471,0.168717,0.53573,0.708638,0,0
00020,601.936,1420.688443660736,106,0.500452,0.177061,0.53085,0.702763,0,0
00021,631.944,1483.484176158905,106,0.493588,0.183894,0.52673,0.696706,0,0
00022,661.956,1540.7547295093536,111,0.491782,0.18552,0.525611,0.695232,0,0
00023,691.936,1603.7169153690338,102,0.489616,0.18721,0.524186,0.692537,0,0
00024,721.948,1665.7394804954529,114,0.488362,0.187658,0.523175,0.690084,0,0
00025,751.932,1736.9276320934296,116,0.488362,0.187658,0.523175,0.690084,0,0
00026,781.936,1800.4485337734222,110,0.488362,0.187658,0.523175,0.690084,0,0
00027,811.948,1875.3549263477325,81,0.48822,0.187702,0.523058,0.689508,0,0
00028,841.932,1942.48841381073,95,0.488027,0.187311,0.522737,0.670782,0,0
00029,871.976,2022.5590455532074,96,0.484358,0.188685,0.519812,0.657043,0,0
00030,901.932,2084.3158996105194,96,0.485258,0.188183,0.520468,0.651218,0,0
